symbol,companyName,exchange,industry,website,description,CEO,securityName,issueType,sector,employees,address,address2,state,city,zip,country,phone
GLRE,Greenlight Capital Re Ltd.,NASDAQ,Property/Casualty Insurance,http://www.greenlightre.ky,"Greenlight Capital Re Ltd. operates as a specialist property and casualty reinsurance company. It specializes in underwriting traditional property and casualty reinsurance, risk innovation, and strategic partnerships. The company was founded on July 13, 2004 and is headquartered in Camana Bay, Cayman Islands.",Simon Burton,"Greenlight Capital Re, Ltd. Class A",cs,Finance,36,65 Market Street,Suite 1207 Jasmine Court,George,Camana Bay,Town,KY,1.345.943.4573
GLUU,"Glu Mobile, Inc.",NASDAQ,Internet Software/Services,http://www.glu.com,"Glu Mobile, Inc. designs, markets and sells mobile games. It specializes in free-to-play mobile games designed to a section of users who download and make purchases games through direct-to-consumer digital storefronts, such as the Apple App Store, Google Play Store, Amazon Appstore and others. It operates through the following geographical segments: United States of America, Americas excluding United States of America; Europe, the Middle East, and Africa; and Asia Pacific. The company was founded by Paul Zuzelo in May 2001 and is headquartered in San Francisco, CA.",Nick Earl,Glu Mobile Inc.,cs,Technology Services,659,875 Howard Street,,CA,San Francisco,94103,US,1.415.800.6100
GLYC,"GlycoMimetics, Inc.",NASDAQ,Biotechnology,http://www.glycomimetics.com,"GlycoMimetics, Inc. operates as a clinical stage biotechnology company, which focuses on the discovery and development of novel glycomimetic drugs to address unmet medical needs resulting from diseases in which carbohydrate biology plays a key role. It develops proprietary glycomimetics that inhibit disease-related functions of carbohydrates. The company was founded by Rachel K. King and John L. Magnani on April 4, 2003 and is headquartered in Rockville, MD.",Rachel K. King,"GlycoMimetics, Inc.",cs,Health Technology,50,9708 Medical Center Drive,,MD,Rockville,20850,US,1.240.243.1201
GMAN,Goldman Sachs Motif Manufacturing Revolution ETF,NYSE Arca,Investment Trusts/Mutual Funds,,,,Goldman Sachs Motif Manufacturing Revolution ETF,et,Miscellaneous,-100000,,,,,,,
GMLP,Golar LNG Partners LP,NASDAQ,Marine Shipping,http://www.golarlngpartners.com,"Golar LNG Partners LP engages in the logistics solutions. Its activities include owning, trading, and operation of floating storage and regasification units (FSRU) and liquefied natural gas ( LNG) marine transportation. The company was founded on September 24, 2007 and is headquartered in Hamilton, Bermuda.",Brian Tienzo,Golar LNG Partners LP,cs,Transportation,554,S.E. Pearman Building,9 Par-la-Ville Road 2nd Floor,,Hamilton HM,11,BM,1.441.295.4705
GNCA,"Genocea Biosciences, Inc.",NASDAQ,Biotechnology,http://www.genocea.com,"Genocea Biosciences, Inc. engages in the development and commercialization of cancer vaccines. It uses its proprietary technology platform ATLAS, to identify clinically relevant antigens of T cells based on actual human immune responses. Its product candidates include GEN-003, an investigational immunotherapy for the treatment of genital herpes; and GEN-009, a neoantigen cancer vaccine. The company was founded by Robert Paull and Kevin J. Bitterman on August 16, 2006 and is headquartered in Cambridge, MA.",William D. Clark,"Genocea Biosciences, Inc.",cs,Health Technology,61,Cambridge Discovery Park,100 Acorn Park Drive 5th floor,MA,Cambridge,02140,US,1.617.876.8191
GNMA,iShares GNMA Bond ETF,NASDAQ,Investment Trusts/Mutual Funds,,,,iShares GNMA Bond ETF,et,Miscellaneous,-100000,,,,,,,
GNMK,"GenMark Diagnostics, Inc.",NASDAQ,Medical Specialties,http://www.genmarkdx.com,"GenMark Diagnostics, Inc. is a molecular diagnostics company, which engages in the provision of multiplex molecular diagnostic solutions. Its products include ePlex and XT-8. The company was founded by Jon Faiz Kayyemin 1993 and is headquartered in Carlsbad, CA.",Hany Massarany,"GenMark Diagnostics, Inc.",cs,Health Technology,477,5964 La Place Court,,CA,Carlsbad,92008-8829,US,1.760.448.4300
GNTX,Gentex Corp.,NASDAQ,Auto Parts: OEM,http://www.gentex.com,"Gentex Corp. engages in the design, development, and manufacture of electro-optical products for the automotive, commercial building, and aircraft industries. Its revenue is derived from the production and sales of automotive products in the United States, Germany, and Japan. Its products include automatic-dimming rearview mirrors, dimmable aircraft windows, and commercial smoke alarms and signaling devices. The company was founded by Fred Bauer in 1974 and is headquartered in Zeeland, MI.",Steve R. Downing,Gentex Corporation,cs,Producer Manufacturing,5707,600 North Centennial Street,,MI,Zeeland,49464,US,1.616.772.1800
GOGO,"Gogo, Inc.",NASDAQ,Wireless Telecommunications,http://www.gogoair.com,"Gogo, Inc. engages in the provision of in-flight broadband connectivity and wireless entertainment services. It operates through the following segments: Commercial Aviation North American (CA-NA); Commercial Aviation Rest of World (CA-ROW); and Business Aviation (BA). The CA-NA segment offers a broad range of connectivity and entertainment services to commercial airlines flying routes. The CA-ROW segment covers satellite-based connectivity and entertainment services to foreign-based commercial airlines and North American based commercial airlines when flying routes outside of North America. The BA segment comprises of a broad suite of in-flight Internet connectivity and other voice and data communications products and services under its Gogo Business Aviation brand to the business aviation market. The company was founded in 1991 and is headquartered in Chicago, IL.",Oakleigh B. Thorne,Gogo Inc.,cs,Communications,1153,111 North Canal Street,,IL,Chicago,60606,US,1.312.517.5000
GOLD,Barrick Gold Corp.,New York Stock Exchange,Precious Metals,http://www.barrick.com,"Barrick Gold Corp. engages in the production and sale of gold and copper, as well as related activities such as exploration and mine development. It operates through the following segments: Barrick Nevada, Veladero, Pueblo Viejo, Lagunas Norte, Turquoise Ridge, Acacia, and Pascua-Lama. The company was founded by Peter D. Munk in 1983 and is headquartered in Toronto, Canada.",Dennis Mark Bristow,Barrick Gold Corporation,cs,Non-Energy Minerals,-100000,Brookfield Place,"TD Canada Trust Tower 161 Bay Street, Suite 3700",ON,Toronto,M5J,CA,1.416.861.9911
GOOD,Gladstone Commercial Corp.,NASDAQ,Real Estate Investment Trusts,http://www.gladstonecommercial.com,"Gladstone Commercial Corp. is a real estate investment trust, which engages in the acquisition, investmen,t and ownership of net leased industrial, commercial, and retail real properties. Its portfolio consists of single-tenant commercial and industrial real properties. The company was founded by David John Gladstone on February 14, 2003 and is headquartered in McLean, VA.",David J. Gladstone,Gladstone Commercial Corporation,cs,Finance,65,1521 Westbranch Drive,,VA,McLean,22102,US,1.703.287.5893
GOODO,Gladstone Commercial Corp.,NASDAQ,Real Estate Investment Trusts,http://www.gladstonecommercial.com,"Gladstone Commercial Corp. is a real estate investment trust, which engages in the acquisition, investmen,t and ownership of net leased industrial, commercial, and retail real properties. Its portfolio consists of single-tenant commercial and industrial real properties. The company was founded by David John Gladstone on February 14, 2003 and is headquartered in McLean, VA.",David J. Gladstone,Gladstone Commercial Corporation 7.5 % Cum Red Pfd Series B,ps,Finance,-100000,1521 Westbranch Drive,,VA,McLean,22102,US,1.703.287.5893
GOODP,Gladstone Commercial Corp.,NASDAQ,Real Estate Investment Trusts,http://www.gladstonecommercial.com,"Gladstone Commercial Corp. is a real estate investment trust, which engages in the acquisition, investmen,t and ownership of net leased industrial, commercial, and retail real properties. Its portfolio consists of single-tenant commercial and industrial real properties. The company was founded by David John Gladstone on February 14, 2003 and is headquartered in McLean, VA.",David J. Gladstone,Gladstone Commercial Corporation 7.75 % Cum Red Pfd Series A,ps,Finance,-100000,1521 Westbranch Drive,,VA,McLean,22102,US,1.703.287.5893
GOOG,"Alphabet, Inc.",NASDAQ,Internet Software/Services,http://abc.xyz,"Alphabet, Inc. is a holding company, which engages in the business of acquisition and operation of different companies. It operates through the Google and Other Bets segments. The Google segment includes its main Internet products such as Ads, Android, Chrome, Commerce, Google Cloud, Google Maps, Google Play, Hardware, Search, and YouTube. The Other Bets segment includes businesses such as Access, Calico, CapitalG, GV, Nest, Verily, Waymo, and X. The company was founded by Lawrence E. Page and Sergey Mikhaylovich Brin on October 2, 2015 and is headquartered in Mountain View, CA.",Lawrence E. Page,Alphabet Inc. Class C,cs,Technology Services,98771,1600 Amphitheatre Parkway,,CA,Mountain View,94043,US,1.650.253.0000
GOOGL,"Alphabet, Inc.",NASDAQ,Internet Software/Services,http://abc.xyz,"Alphabet, Inc. is a holding company, which engages in the business of acquisition and operation of different companies. It operates through the Google and Other Bets segments. The Google segment includes its main Internet products such as Ads, Android, Chrome, Commerce, Google Cloud, Google Maps, Google Play, Hardware, Search, and YouTube. The Other Bets segment includes businesses such as Access, Calico, CapitalG, GV, Nest, Verily, Waymo, and X. The company was founded by Lawrence E. Page and Sergey Mikhaylovich Brin on October 2, 2015 and is headquartered in Mountain View, CA.",Lawrence E. Page,Alphabet Inc. Class A,cs,Technology Services,98771,1600 Amphitheatre Parkway,,CA,Mountain View,94043,US,1.650.253.0000
GPOR,Gulfport Energy Corp.,NASDAQ,Oil & Gas Production,http://www.gulfportenergy.com,"Gulfport Energy Corp. is an independent oil natural gas exploration and production company. The company focuses on the exploration, exploitation, acquisition and production of natural gas, natural gas liquids, and crude oil in the United States. Its principal producing properties located along the Louisiana Gulf Coast. The company was founded on July 11, 1997 and is headquartered in Oklahoma City, OK.",David M. Wood,Gulfport Energy Corporation,cs,Energy Minerals,350,3001 Quail Springs Parkway,,OK,Oklahoma City,73134,US,1.405.252.4600
GPRE,"Green Plains, Inc.",NASDAQ,Chemicals: Specialty,http://www.gpreinc.com,"Green Plains, Inc. produces fuel-grade ethanol and corn oil, provides grain handling & storage, commodity marketing and distribution services. The company operates through the following segments: Ethanol Production, Partnership, Agribusiness and Energy Services and Food & Ingredients. The Ethanol Production segment provides ethanol plants in Indiana, Iowa, Michigan, Minnesota, Nebraska and Tennessee. The Partnership segment offers fuel storage and transportation services by owning, operating, developing and acquiring ethanol and fuel storage tanks, terminals, transportation assets and other related assets and businesses. The Agribusiness and Energy Services segment includes grain procurement, which markets, sells and distributes ethanol, distillers grains and corn oil produced at ethanol plants. The Food & Ingredients segment involves cattle feeding operations. Green Plains was founded in June 2004 and is headquartered in Omaha, NE.",Todd A. Becker,Green Plains Inc.,cs,Process Industries,1194,1811 Aksarben Drive,,NE,Omaha,68106,US,1.402.884.8700
GPRO,"GoPro, Inc.",NASDAQ,Electronics/Appliances,http://www.gopro.com,"GoPro, Inc. engages in manufacturing and selling camera and camera accessories. The company provides mountable and wearable cameras and accessories, which refers as capture devices. Its product brands include Hero7, Fusion, GoPro Plus, Quik, GoPro App and Karma Grip. It also offers an ecosystem of mountable and wearable accessories. The company was founded by Nicholas Woodman in 2002 and is headquartered in San Mateo, CA.",Nicholas Woodman,"GoPro, Inc. Class A",cs,Consumer Durables,891,3000 Clearview Way,,CA,San Mateo,94402,US,1.650.332.7600
GRBK,"Green Brick Partners, Inc.",NASDAQ,Homebuilding,http://www.greenbrickpartners.com,"Green Brick Partners, Inc. engages in residential land development and homebuilding. It operates through the Builder Operations and Land Development segments. The Builder Operations segment consists of the Builder operations Southeast and Builder operations Central segments. It offers customization options and builds energy-efficient homes located in the metropolitan areas of Dallas, Texas, and Atlanta, Georgia. The Land Development segment sells finished lots or option lots from third-party developers to their controlled builders for homebuilding operations and provide them with construction financing and strategic planning. The company was founded by James R. Brickman on April 11, 2006 and is headquartered in Plano, TX.",James R. Brickman,"Green Brick Partners, Inc.",cs,Consumer Durables,390,2805 Dallas Parkway,,TX,Plano,75093,US,1.469.573.6755
GRFS,Grifols SA,NASDAQ,Pharmaceuticals: Major,http://www.grifols.com,"Grifols SA engages in the production of plasma derivatives. It operates through the following segments: Bioscience, Hospital, Diagnostic, Bio Supplies, and Others. The Bioscience Segment includes all activities related with products deriving from human plasma for therapeutic use. The Hospital Segment comprises of all non-biological pharmaceutical products and medical supplies manufactured by group companies earmarked for hospital pharmacy. The Diagnostic Segment deals with the marketing of diagnostic testing equipment, reagents, and other equipment. The Bio Supplies segment consists of all transactions related to biological products for non-therapeutic use. The Others segment focuses on the rendering of manufacturing services to third party companies. The company was founded by José Antonio Grifols Roig on November 18, 1940 and is headquartered in Barcelona, Spain.",Raimon Grifols Roura / Victor Grifols Deu,"Grifols, S.A. Sponsored ADR Class B",ad,Health Technology,21243,"Avinguda de la Generalitat, 152-158",Parc de Negocis Can Sant Joan Sant Cugat del Vallès,Catalonia,Barcelona,08174,ES,34.93.571.22.00
GRID,First Trust Nasdaq Clean Edge Smart GRID Infrastructure Index,NASDAQ,Investment Trusts/Mutual Funds,,,,First Trust Nasdaq Clean Edge Smart GRID Infrastructure Index,et,Miscellaneous,-100000,,,,,,,
GRIF,"Griffin Industrial Realty, Inc.",NASDAQ,Real Estate Development,http://www.griffinindustrial.com,"Griffin Industrial Realty, Inc. engages in developing, managing and leasing industrial/warehouse properties, and to a lesser extent, office/flex properties. The company was founded in 1970 and is headquartered in New York, NY.",Michael S. Gamzon,"Griffin Industrial Realty, Inc. Class A",cs,Finance,34,641 Lexingtong Avenue,,NY,New York,10022,US,1.212.218.7910
GRMN,Garmin Ltd.,NASDAQ,Telecommunications Equipment,http://www.garmin.com,"Garmin Ltd. is a holding company, which engages in the provision of navigation, communications and information devices, most of which are enabled by Global Positioning System (GPS) technology. It operates through the following five segments: Marine, Outdoor, Fitness, Auto and Aviation. The Marine segment manufactures and offers recreational marine electronics such as cartography, Sounders, Radar, Autopilot Systems and Sailing. The Outdoor segment offers products designed for use in outdoor activities such as Outdoor Handhelds, Adventure Watches, Golf Devices, Dog Tracking & Training Device, Garmin Connect & Garmin Connect Mobile and Connect IQ. The Fitness segment involves in products designed for use in fitness and activity tracking such as Running & Multi-Sport Watches, Cycling Computers, Power Mete, Safety & Awareness and Activity Tracking Devices. The Auto segment offers products designed for use in the auto market such as Personal Navigation Devices, Original Equipment Manufacturer (OEM) Solutions and Cameras. The Aviation segment provides solutions to aircraft manufacturers, existing aircraft owners and operators, as well as government/defense customers. The company was founded in 1989 and is headquartered in Schaffhausen, Switzerland.",Clifton A. Pemble,Garmin Ltd.,cs,Electronic Technology,13000,Mühlentalstrasse 2,,,Schaffhausen,8200,CH,41.52.630.16.00
GROW,"U.S. Global Investors, Inc.",NASDAQ,Investment Managers,http://www.usfunds.com,"U.S. Global Investors, Inc. engages in the provision of investment advisory services. It operates through the following segments: Investment Management Services, Investment Management Services-Canada, and Corporate Investments. The Investment Management Services segment offers a range of investment management products and services to offshore and exchange traded fund clients. The Investment Management Services-Canada segment comprises of investment management products and services in Canada through its asset management firm. The Corporate Investments segment invests for its own account to add growth and value to its cash position. The company was founded in 1968 and is headquartered in San Antonio, TX.",Frank Edward Holmes,"U.S. Global Investors, Inc. Class A",cs,Finance,24,7900 Callaghan Road,,TX,San Antonio,78229,US,1.210.308.1234
GRPN,"Groupon, Inc.",NASDAQ,Advertising/Marketing Services,http://www.groupon.com,"Groupon, Inc. provides marketing services by selling vouchers through online local marketplaces. It offers mobile and online marketplace where people discover and save on amazing things to do, see, eat and buy. The company was founded by Andrew D. Mason, Eric Paul Lefkofsky, and Bradley A. Keywell on January 15, 2008 and is headquartered in Chicago, IL.",Richard Williams,"Groupon, Inc.",cs,Commercial Services,6576,600 West Chicago Avenue,,IL,Chicago,60654,US,1.312.334.1579
GRVY,"Gravity Co., Ltd.",NASDAQ,Casinos/Gaming,http://www.gravity.co.kr,"Gravity Co., Ltd. engages in the development and publishing of online games, software and other related services. It operates through the following business fields: Online Games Development Business, Game Publishing Business, Mobile Business, Multi Platform Business, One Source Multi Use Business and the Internet Protocol Television Business. The Online Game Development Business focuses on developing and servicing competitive games with various genres and unique features such as Ragnarok Online II, Requiem online, and Pucca Racing. The Game Publishing Business seeks to expand its business into publishing, music, merchandising, and animation. The Mobile Game Business develops mobile games based on Ragnarok Online and offers role-playing games, shooting, puzzle, and sports genres in its mobile game collection. The Multi Platform Business offers online and mobile games, and is currently in the process of developing Ragnarok DS, PSP, and XBOX 360 Live PSN. The One Source Multi Use Business invests continually to improve the quality of the game industry. The Internet Protocol Television (IPTV)Business covers network games based on IPTV, imbedded games based on STB, and new game services based on an open platform. The company was founded on April 4, 2000 and is headquartered in Seoul, South Korea.",Hyun-Chul Park,Gravity Co Ltd Sponsored ADR,ad,Consumer Services,-100000,"15/F, Nuritkum Square Bus Tower",396 World Cup buk-ro Mapo-Gu,,Seoul,03925,KR,82.2.2132.7000
GSBC,"Great Southern Bancorp, Inc. (Missouri)",NASDAQ,Savings Banks,http://www.greatsouthernbank.com,"Great Southern Bancorp, Inc. is a bank holding company, provides fnancial services. It offers residential and commercial real estate loans, construction loans, commercial business loans and consumer loans. The company was founded in July 1989 and is headquartered in Springfield, MO.",Joseph W. Turner,"Great Southern Bancorp, Inc.",cs,Finance,1182,1451 East Battlefield,,MO,Springfield,65804,US,1.417.887.4400
GSIT,"GSI Technology, Inc.",NASDAQ,Semiconductors,http://www.gsitechnology.com,"GSI Technology, Inc. engages in the design, development and marketing of memory products primarily for the networking, and telecommunications markets. Its product includes Static Random Access Memory, or SRAM, which incorporated in networking and telecommunications equipment, such as routers, switches, wide area network infrastructure equipment, wireless base stations and network access equipment. It also offers services to the ongoing needs of the military, industrial, test and measurement equipment, automotive and medical markets for SRAMs .The company was founded by Lee-Lean Shu and Robert Yau in March 1995 and is headquartered in Sunnyvale, CA.",Lee-Lean Shu,"GSI Technology, Inc.",cs,Electronic Technology,166,1213 Elko Drive,,CA,Sunnyvale,94089,US,1.408.331.8800
GSM,Ferroglobe PLC,NASDAQ,Industrial Specialties,http://www.ferroglobe.com,"Ferroglobe PLC is a holding company, which engages in the production of silicon and specialty metals. Its products include silicon metal, silicon-based alloys, and manganese-based alloys. It operates through the following segments: Electrometallurgy-North America, Electrometallurgy-Europe, Electrometallurgy-South Africa, and Other. The company was founded on February 5, 2015 and is headquartered in London, the United Kingdom.",Pedro Larrea Paguaga,Ferroglobe PLC,cs,Process Industries,4368,2nd Floor West Wing,Lansdowne House 57 Berkeley Square,Greater,London,London,GB,44.203.129.2420
GT,Goodyear Tire & Rubber Co.,NASDAQ,Automotive Aftermarket,http://www.goodyear.com,"Goodyear Tire & Rubber Co. engages in the development, manufactures, distribution, and sale of tires and related products and services worldwide. Its products include lines of rubber tires for automobiles, trucks, buses, aircraft, motorcycles, farm implements, earthmoving and mining equipment, industrial equipment and various other applications. The company was founded by Frank A. Seiberling on August 29, 1898 and is headquartered in Akron, OH.",Richard J. Kramer,Goodyear Tire & Rubber Company,cs,Consumer Durables,64000,200 Innovation Way,,OH,Akron,44316-0001,US,1.330.796.2121
GTIM,"Good Times Restaurants, Inc.",NASDAQ,Restaurants,http://www.goodtimesburgers.com,"Good Times Restaurants, Inc. owns, operates, and franchises restaurants in Colorado and Wyoming. It operates through the following segments: Good Times Burgers & Frozen Custard restaurants and Bad Daddy's Burger Bar restaurants. The company was founded in 1987 and is headquartered in Lakewood, CO.",Boyd E. Hoback,Good Times Restaurants Inc.,cs,Consumer Services,2368,141 Union Boulevard,,CO,Lakewood,80228,US,1.303.384.1400
GTLS,"Chart Industries, Inc.",NASDAQ,Industrial Machinery,http://www.chartindustries.com,"Chart Industries, Inc. engages in the manufacturing of engineered equipment for the industrial gas, energy, and biomedical industries. It operates through the following business segments: Energy and Chemicals, Distribution and Storage Western Hemisphere, and Distribution & Storage Eastern Hemisphere. The Energy and Chemicals; and Distribution and Storage segment manufacture products used primarily in energy-related and industrial applications, such as the separation, liquefaction, distribution, and storage of hydrocarbon and industrial gases. The company was founded in 1992 and is headquartered in Ball Ground, GA.",Jillian C. Evanko,"Chart Industries, Inc.",cs,Producer Manufacturing,4605,3055 Torrington Drive,,GA,Ball Ground,30107,US,1.770.721.8800
GULF,WisdomTree Middle East Dividend Fund,NASDAQ,Investment Trusts/Mutual Funds,,,,WisdomTree Middle East Dividend Fund,et,Miscellaneous,-100000,,,,,,,
GURE,"Gulf Resources, Inc.",NASDAQ,Chemicals: Specialty,http://www.gulfresourcesinc.com,"Gulf Resources, Inc. engages in the manufacture of chemical products. It operates through the following segments: Bromine, Crude Salt, Chemical Products, and Natural Gas. It produces and trades bromine, crude salt and natural gas, and manufacture and sell chemical products used in oil and gas field exploration, oil and gas distribution, oil field drilling, papermaking chemical agents, inorganic chemicals, and manufacturer of materials for human and animal antibiotics. The company was founded by Ming Yang in December 2006 and is headquartered in Shouguang, China.",Xiao Bin Liu,"Gulf Resources, Inc.",cs,Process Industries,699,"Level 11, Vegetable Building",,Shandong,Shouguang,262700,CN,86.536.567.0008
GWGH,"GWG Holdings, Inc.",NASDAQ,Finance/Rental/Leasing,http://www.gwgh.com,"GWG Holdings, Inc. is a financial services company, which transforms the life insurance industry through disruptive and innovative products and services. The company is founded to earn non-correlated returns from life insurance assets and create opportunities for consumers to obtain significantly more value for their life insurance policies in a secondary market compared to the traditional options offered by the insurance industry. It is extending its business in the life insurance industry through the application of advanced epigenetic technology. The company was founded by Jon R. Sabes, Paul A. Siegert, and Steven F. Sabes in February 2006 and is headquartered in Minneapolis, MN.",Murray T. Holland,"GWG Holdings, Inc.",cs,Finance,75,220 South 6th Street,,MN,Minneapolis,55402,US,1.877.494.2388
GWPH,GW Pharmaceuticals Plc,NASDAQ,Pharmaceuticals: Other,http://gwpharm.co.uk,"GW Pharmaceuticals Plc is a biopharmaceutical company, which engages in the discovery, development, and commercialization of novel therapeutics. It offers its lead cannabinoid product, Epidiolex oral solution CV, a pharmaceutical formulation of cannabidiol (CBD) focusing on the treatment of seizures associated with tuberous sclerosis complex. The company was founded by Geoffrey William Guy and Brian Whittle in 1998 and is headquartered in Cambridge, the United Kingdom.",Justin D. Gover,GW Pharmaceuticals PLC Sponsored ADR,ad,Health Technology,801,Sovereign House,"Vision Park, Chivers Way Histon",Cambridgeshire,Cambridge,CB24,GB,44.1223.266800
GYRO,Gyrodyne LLC,NASDAQ,Real Estate Development,http://www.gyrodyne.com,"Gyrodyne LLC engages in the investment and the acquisition, ownership, and management of portfolios of medical office; industrial and development; and residential properties. Its properties include Flowerfield, Port Jefferson Professional Park, Courtland Medical Center, and Grove. The company was founded by Peter James Papadakos in 1946 and is headquartered in St. James, NY.",Gary Jay Fitlin,Gyrodyne LLC,cs,Finance,-100000,1 Flowerfield,,NY,St. James,11780,US,1.631.584.5400
HA,"Hawaiian Holdings, Inc.",NASDAQ,Airlines,http://www.hawaiianairlines.com,"Hawaiian Holdings, Inc. is a holding company, which engages in the provision of air transportation services. It offers cargo handling and passenger flights between the Hawaiian Islands and its neighbor island routes through its subsidiary, Hawaiian Airlines, Inc. The company is headquartered in Honolulu, HI.",Peter R. Ingram,"Hawaiian Holdings, Inc.",cs,Transportation,7244,3375 Koapaka Street,,HI,Honolulu,96819-1804,US,1.808.835.3700
HABT,"The Habit Restaurants, Inc.",NASDAQ,Restaurants,http://www.habitburger.com,"The Habit Restaurants, Inc. owns and operates restaurants. It operates The Habit Burger Grill, which prepares made-to-order char-grilled burgers and sandwiches featuring USDA choice tri-tip steak, grilled chicken and sushi-grade albacore tuna. The company was founded on July 24, 2014 and is headquartered in Irvine, CA.",Russell William Bendel,"Habit Restaurants, Inc. Class A",cs,Consumer Services,6093,17320 Red Hill Avenue,,CA,Irvine,92614,US,1.949.851.8881
HAFC,Hanmi Financial Corp.,NASDAQ,Regional Banks,http://www.hanmi.com,"Hanmi Financial Corp. is holding company, which engages in the provision of commercial banking and financial services. The firm operates through its subsidiary, Hanmi Bank. Its services include demand, time and savings deposits; and commercial and industrial, real estate, and consumer lending. The company was founded on March 14, 2000 and is headquartered in Los Angeles, CA.",Bonita I. Lee,Hanmi Financial Corporation,cs,Finance,635,3660 Wilshire Boulevard,,CA,Los Angeles,90010,US,1.213.382.2200
HAIN,"Hain Celestial Group, Inc.",NASDAQ,Food: Specialty/Candy,http://www.hain-celestial.com,"Hain Celestial Group, Inc. engages in the production and distribution of organic and natural products. It operates through the following geographical segments: United States, United Kingdom, Rest of World, and Corporate and Other. The United States segment comprises of baby, pantry, snack food, fresh, personal care, and tea products. The United Kingdom segment offers frozen and chilled products. The Rest of World segment distributes products in Canada and Europe. The Corporate and Other segment includes expenses related to the firm's administrative functions. The company was founded by Irwin David Simon on May 19, 1993 and is headquartered in Lake Success, NY.",Mark Lawrence Schiller,"Hain Celestial Group, Inc.",cs,Consumer Non-Durables,5441,1111 Marcus Avenue,,NY,Lake Success,11042-1034,US,1.516.587.5000
HALL,"Hallmark Financial Services, Inc.",NASDAQ,Property/Casualty Insurance,http://www.hallmarkgrp.com,"Hallmark Financial Services, Inc. is a holding company, which engages in the provision of insurance products. It operates through the following segments: Standard Commercial, Specialty Commercial and Personal. The Standard Commercial segment offers property, casualty, and accident insurance services. The Specialty Commercial segment includes assurance products to aviation, satellite launch, commercial umbrella, and medical professional liability. The Personal segment deals with vehicle and home insurance. The company was founded in 1987 and is headquartered in Fort Worth, TX.",Naveen Anand,"Hallmark Financial Services, Inc.",cs,Finance,439,777 Main Street,,TX,Fort Worth,76102,US,1.817.348.1600
HALO,"Halozyme Therapeutics, Inc.",NASDAQ,Biotechnology,http://www.halozyme.com,"Halozyme Therapeutics, Inc. is a biopharmaceutical company, which engages in research, development & commercialization of human enzymes and drug candidates. It focuses on novel oncology therapies that target the tumor microenvironment. Its products include PEGPH20, HTI-1511, PEG-ADA2, and HYLENEX recombinant. The company was founded by Gregory Ian Frost on February 26, 1998 and is headquartered in San Diego, CA.",Helen I. Torley,"Halozyme Therapeutics, Inc.",cs,Health Technology,281,11388 Sorrento Valley Road,,CA,San Diego,92121,US,1.858.794.8889
HAS,"Hasbro, Inc.",NASDAQ,Recreational Products,http://www.hasbro.com/en_us/,"Hasbro, Inc. engages in the provision of children and family leisure time products and services with a portfolio of brands and entertainment properties. The firm operates under the following brands: Littlest Pet Shop, Magic: The Gathering, Monopoly, My Little Pony, Nerf, Play-Doh, and Transformers. It operates through the following segments: United States and Canada, International, and Entertainment and Licensing. The United States and Canada segment refers to the marketing and sale of products in the United States and Canada which include the innovation and reinvention of toys and games. The International segment engages in the marketing and sale of product categories to retailers and wholesalers in Europe, Latin and South America, and the Asia Pacific region and through distributors in those countries where there is no direct presence. The Entertainment and Licensing segment conducts movie, television and digital gaming entertainment operations. The company was founded by Henry Hassenfeld and Hilal Hassenfeld in 1923 and is headquartered in Pawtucket, RI.",Brian D. Goldner,"Hasbro, Inc.",cs,Consumer Durables,5800,1027 Newport Avenue,,RI,Pawtucket,02861-2539,US,1.401.431.8697
HAYN,"Haynes International, Inc.",NASDAQ,Steel,http://www.haynesintl.com,"Haynes International, Inc. engages in the development, manufacture, and marketing of nickel-and cobalt-based alloys used in corrosion and high-temperature applications. It supports a range of industries such as aerospace, chemical processing, and industrial gas turbine. The company was founded by Elwood P. Haynes in 1912 and is headquartered in Kokomo, IN.",Michael L. Shor,"Haynes International, Inc.",cs,Non-Energy Minerals,1157,1020 West Park Avenue,,IN,Kokomo,46904-9013,US,1.765.456.6000
